"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","9","0","","0"
"0","Pruebas Avanzadas","0","Elementos Complejos","1","0","Manejo de Tablas","0"
"0","Pruebas Avanzadas","0","Elementos Complejos","1","0","Manejo de Alertas de JS","0"
"0","Pruebas Avanzadas","0","Elementos Complejos","1","0","Manejo de IFrames","0"
